Waktu,Kurang Pengalaman,Kelengkapan Kru,Pemahaman Karakteristik Kapal,Pemahaman Kondisi Perairan,Rangkap Tugas,Pengamatan Visual,Nakhoda,Komunikasi Antar Kapal,Pandu,Kompetensi Kru,Ragu - Ragu,Kelelahan,Kondisi Fisik ,Alat Navigasi,Pemanfaatan Alat Navigasi & Komunikasi,Pemahaman Komunikasi,Manuveurability,Decision Making,Situational Awareness,Good Seamanship,Preventive Timing,Kegagalan Mesin,Collision
0,0,1,1,1,0,1,1,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,1,0,0,1,3,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,3,0,1,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,1,1,1,1,0,1,3,0,1,0,1,1,1,1,1,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,0,Collision
1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Near Miss
1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,0,0,0,0,1,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,Collision
0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,Collision
1,0,1,1,1,0,1,1,0,2,0,1,0,1,1,1,1,0,0,1,0,0,0,Collision
1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,Near Miss
0,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,Near Miss
0,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,Collision
0,1,0,1,1,1,1,1,0,3,0,0,1,1,0,0,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
1,0,1,1,0,0,1,1,1,2,1,0,0,1,1,1,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,2,1,0,0,0,1,0,1,1,1,0,0,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,0,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,Collision
0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,Collision
0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,Collision
1,0,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,1,1,0,0,1,1,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,3,1,0,0,1,1,0,1,1,1,1,1,1,0,Near Miss
0,1,1,0,0,0,0,0,0,3,1,1,0,1,1,0,1,1,1,1,0,0,0,Collision
1,0,1,0,0,0,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
1,1,1,1,1,1,1,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,1,0,0,0,1,0,1,3,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,0,0,1,1,1,3,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,0,0,0,1,1,0,0,3,0,0,0,1,1,0,1,1,0,1,0,0,0,Collision
0,1,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,0,1,1,0,0,3,1,0,1,1,1,0,1,1,1,0,0,0,0,Collision
1,0,1,1,0,0,1,1,0,3,1,0,0,1,1,0,1,1,1,0,0,0,0,Collision
0,1,1,1,1,0,1,0,0,3,0,1,0,1,1,0,1,1,1,0,0,0,0,Collision
0,0,1,1,1,0,1,0,1,3,0,1,0,0,1,0,1,1,1,0,0,0,0,Collision
0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Collision
0,0,1,1,1,1,0,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,1,1,0,0,3,1,1,0,1,1,0,0,1,0,0,0,0,0,Near Miss
0,0,1,1,1,0,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
0,1,1,1,1,0,1,1,1,3,0,0,0,1,1,0,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,Near Miss
0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,Collision
0,0,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,0,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,Collision
1,0,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
1,1,1,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,Collision
1,0,0,1,1,1,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,1,0,1,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,0,1,1,0,1,1,1,3,0,0,0,1,0,0,1,0,1,1,1,0,0,Near Miss
0,0,0,1,1,0,0,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,Near Miss
0,0,0,1,1,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Near Miss
0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Near Miss
0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,Collision
1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,Collision
0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,Collision
1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,Collision
0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,Near Miss
0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,Collision
1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,Collision
